> print(ans_data)
     answers         freq
449    court 5.159867e-03
450    coven 2.821734e-06
451    cover 9.769025e-04
452    covet 3.455048e-06
453    covey 5.533052e-06
454    cower 1.808004e-06
455    coyly 1.828026e-06
456    crack 2.042030e-04
457    craft 1.624251e-04
458    cramp 5.874207e-06
459    crane 7.820088e-05
460    crank 1.573716e-05
461    crash 9.468945e-05
462    crass 4.998994e-06
463    crate 1.090276e-05
464    crave 7.140263e-06
465    crawl 2.279774e-05
466    craze 8.233724e-06
467    crazy 9.862950e-05
468    creak 3.910810e-06
469    cream 1.773082e-04
470    credo 8.638648e-06
471    creed 3.622713e-05
472    creek 3.729860e-04
473    creep 6.998623e-05
474    creme 6.261434e-06
475    crepe 5.298088e-06
476    crept 2.186442e-05
477    cress 3.532029e-06
478    crest 6.340500e-05
479    crick 7.084356e-06
480    cried 1.121716e-04
481    crier 2.462368e-06
482    crime 6.540509e-04
483    crimp 4.370460e-06
484    crisp 4.025012e-05
485    croak 2.161821e-06
486    crock 3.050152e-06
487    crone 4.737448e-06
488    crony 1.863171e-06
489    crook 1.884317e-05
490    cross 1.221037e-03
491    croup 7.475472e-06
492    crowd 1.716151e-04
493    crown 2.605127e-04
494    crude 1.928089e-04
495    cruel 7.494114e-05
496    crumb 7.274476e-06
497    crump 4.941883e-06
498    crush 3.264061e-05
499    crust 6.958269e-05
500    crypt 1.023877e-05
501    cubic 1.164407e-04
502    cumin 6.742768e-06
503    curio 2.675113e-06
504    curly 1.767818e-05
505    curry 3.312131e-05
506    curse 4.663499e-05
507    curve 4.070244e-04
508    curvy 9.719641e-07
509    cutie 6.266354e-07
510    cyber 7.945861e-06
511    cycle 6.186569e-04
512    cynic 4.924916e-06
513    daddy 6.225367e-05
514    daily 8.723376e-04
515    dairy 1.837885e-04
516    daisy 2.787456e-05
517    dally 7.409310e-06
518    dance 3.567372e-04
519    dandy 9.116855e-06
520    datum 2.908757e-05
521    daunt 1.105977e-06
522    dealt 1.897353e-04
523    death 1.738991e-03
524    debar 2.072777e-06
525    debit 3.256422e-05
526    debug 1.018390e-05
527    debut 4.305998e-05
528    decal 3.591692e-06
529    decay 1.726449e-04
530    decor 2.278479e-05
531    decoy 5.723699e-06
532    decry 3.028771e-06
533    defer 3.752848e-05
534    deign 2.054858e-06
535    deity 5.061647e-05
536    delay 4.106632e-04
537    delta 2.169752e-04
538    delve 7.202679e-06
539    demon 3.400703e-05
540    demur 1.864732e-06
541    denim 8.682858e-06
542    dense 1.418166e-04
543    depot 5.746085e-05
544    depth 5.910818e-04
545    derby 2.544341e-05
546    deter 4.625564e-05
547    detox 2.268500e-06
548    deuce 2.250679e-06
549    devil 1.087148e-04
550    diary 1.165273e-04
551    dicey 3.555215e-06
552    digit 9.060230e-05
553    dilly 1.683166e-06
554    dimly 1.233107e-05
555    diner 1.141769e-05
556    dingo 1.746708e-06
557    dingy 5.383267e-06
558    diode 5.854956e-05
559    dirge 2.606480e-06
560    dirty 9.704303e-05
561    disco 1.306692e-05
562    ditch 4.483469e-05
563    ditto 1.046375e-05
564    ditty 2.111010e-06
565    diver 1.971216e-05
566    dizzy 1.703701e-05
567    dodge 4.651509e-05
568    dodgy 9.024521e-07
569    dogma 2.080881e-05
570    doing 1.058011e-03
571    dolly 1.823337e-05
572    donor 1.590470e-04
573    donut 3.531727e-06
574    dopey 1.211122e-06
575    doubt 5.188404e-04
576    dough 4.441235e-05
577    dowdy 2.779725e-06
578    dowel 6.260832e-06
579    downy 7.266441e-06
580    dowry 1.864447e-05
581    dozen 1.454819e-04
582    draft 4.496593e-04
583    drain 1.216905e-04
584    drake 4.287696e-05
585    drama 2.165635e-04
586    drank 4.870526e-05
587    drape 6.087584e-06
588    drawl 3.016363e-06
589    drawn 4.973871e-04
590    dread 3.067213e-05
591    dream 3.143857e-04
592    dress 2.137625e-04
593    dried 1.683642e-04
594    drier 1.812665e-05
595    drift 1.162115e-04
596    drill 9.193038e-05
597    drink 2.578899e-04
598    drive 7.232076e-04
599    droit 1.810232e-05
600    droll 2.809515e-06
601    drone 7.151899e-06
602    drool 1.675566e-06
603    droop 4.236650e-06
604    dross 3.516161e-06
605    drove 1.417848e-04
606    drown 1.477642e-05
607    druid 3.488746e-06
608    drunk 8.360289e-05
609    dryer 2.184622e-05
610    dryly 6.085123e-06
611    duchy 1.134215e-05
612    dully 2.771402e-06
613    dummy 3.970501e-05
614    dumpy 1.245304e-06
615    dunce 1.500498e-06
616    dusky 8.654108e-06
617    dusty 3.228756e-05
618    dutch 2.429322e-04
619    duvet 1.280909e-06
620    dwarf 3.829809e-05
621    dwell 4.143953e-05
622    dwelt 1.190353e-05
623    dying 1.591628e-04
624    eager 9.330618e-05
625    eagle 1.150404e-04
626    early 2.742034e-03
627    earth 9.308391e-04
628    easel 6.483535e-06
629    eaten 7.744650e-05
630    eater 8.668768e-06
631    ebony 1.280907e-05
632    eclat 7.039672e-07
633    edict 1.736485e-05
634    edify 1.142789e-06
635    eerie 1.249519e-05
636    egret 4.798758e-06
637    eight 7.400917e-04
638    eject 5.765994e-06
639    eking 9.696668e-07
640    elate 4.687654e-07
641    elbow 5.683674e-05
642    elder 1.026810e-04
643    elect 1.189237e-04
644    elegy 1.018412e-05
645    elfin 2.182913e-06
646    elide 9.472734e-07
647    elite 1.512641e-04
648    elope 1.264578e-06
649    elude 7.953450e-06
650    email 1.338482e-04
651    embed 7.088082e-06
652    ember 4.291046e-06
653    emcee 1.239054e-06
654    empty 2.775566e-04
655    enact 4.985035e-05
656    endow 7.596121e-06
657    enema 6.498926e-06
658    enemy 3.087084e-04
659    enjoy 2.905618e-04
660    ennui 2.670076e-06
661    ensue 1.129447e-05
662    enter 7.005674e-04
663    entry 7.646245e-04
664    envoy 2.399093e-05
665    epoch 3.379935e-05
666    epoxy 4.729815e-05
667    equal 1.118071e-03
668    equip 4.973517e-05
669    erase 2.435246e-05
670    erect 5.420969e-05
671    erode 1.618517e-05
672    error 8.442143e-04
673    erupt 7.922396e-06
674    essay 2.486464e-04
675    ester 4.229244e-05
676    ether 5.883361e-05
677    ethic 4.587639e-05
678    ethos 3.235977e-05
679    etude 1.174030e-05
680    evade 2.238625e-05
681    event 9.143786e-04
682    every 2.634788e-03
683    evict 4.292538e-06
684    evoke 2.959054e-05
685    exact 2.694151e-04
686    exalt 4.640325e-06
687    excel 5.283487e-05
688    exert 5.766531e-05
689    exile 8.692764e-05
690    exist 6.394241e-04
691    expel 1.349078e-05
692    extol 3.131114e-06
693    extra 3.900589e-04
694    exult 1.505934e-06
695    eying 5.555680e-07
696    fable 1.791199e-05
697    facet 3.203586e-05
698    faint 6.478214e-05
699    fairy 5.212560e-05
700    faith 6.227161e-04
701    false 4.250767e-04
702    fancy 7.354566e-05
703    fanny 2.750018e-05
704    farce 1.453532e-05
705    fatal 1.095053e-04
706    fatty 1.021988e-04
707    fault 3.224681e-04
708    fauna 7.114962e-05
709    favor 3.269351e-04
710    feast 6.924593e-05
711    fecal 2.289721e-05
712    feign 2.845380e-06
713    fella 5.036231e-06
714    felon 8.367331e-06
715    femme 1.168447e-05
716    femur 2.002273e-05
717    fence 9.235831e-05
718    feral 9.292048e-06
719    ferry 7.890787e-05
720    fetal 1.188797e-04
721    fetch 3.174801e-05
722    fetid 2.434742e-06
723    fetus 5.963935e-05
724    fever 1.536232e-04
725    fewer 2.797684e-04
726    fiber 3.474730e-04
727    fibre 1.023757e-04
728    ficus 4.699522e-06
729    field 2.524503e-03
730    fiend 4.606465e-06
731    fiery 2.634283e-05
732    fifth 3.991596e-04
733    fifty 2.858472e-04
734    fight 3.536019e-04
735    filer 1.003709e-05
736    filet 3.072085e-06
737    filly 2.986713e-06
738    filmy 1.627745e-06
739    filth 1.169392e-05
740    final 1.638166e-03
741    finch 2.041701e-05
742    finer 4.077211e-05
743    first 9.496119e-03
744    fishy 3.238243e-06
745    fixer 3.157504e-06
746    fizzy 8.639708e-07
747    fjord 6.578488e-06
